,JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,COUNT MALE
0,10001,44,22,22
1,10002,35,19,16
2,10003,1,1,0
3,10004,0,0,0
4,10005,2,2,0
5,10006,6,2,4
6,10007,1,0,1
7,10009,2,0,2
8,10010,0,0,0
9,10011,3,2,1
10,10012,0,0,0
11,10013,8,1,7
12,10014,0,0,0
13,10016,17,12,5
14,10017,0,0,0
15,10018,3,2,1
16,10019,0,0,0
17,10020,0,0,0
18,10021,0,0,0
19,10022,1,1,0
20,10023,7,5,2
21,10024,4,4,0
22,10025,27,17,10
23,10026,0,0,0
24,10027,7,4,3
25,10028,0,0,0
26,10029,20,13,7
27,10030,0,0,0
28,10031,0,0,0
29,10032,13,4,9
30,10033,0,0,0
31,10034,0,0,0
32,10035,0,0,0
33,10036,2,2,0
34,10037,0,0,0
35,10038,16,11,5
36,10039,0,0,0
37,10040,5,4,1
38,10044,0,0,0
39,10045,0,0,0
40,10065,0,0,0
41,10115,0,0,0
42,10119,0,0,0
43,10128,0,0,0
44,10154,0,0,0
45,10278,0,0,0
46,10280,0,0,0
47,10301,0,0,0
48,10302,0,0,0
49,10303,0,0,0
50,10304,0,0,0
51,10305,0,0,0
52,10306,1,0,1
53,10307,0,0,0
54,10309,0,0,0
55,10310,0,0,0
56,10312,0,0,0
57,10314,0,0,0
58,10451,41,21,20
59,10452,17,12,5
60,10453,14,7,7
61,10454,18,8,10
62,10455,27,17,10
63,10456,5,3,2
64,10457,0,0,0
65,10458,52,25,27
66,10459,7,5,2
67,10460,27,20,7
68,10461,49,26,23
69,10462,3,2,1
70,10463,59,33,26
71,10464,15,7,8
72,10465,21,17,4
73,10466,65,39,26
74,10467,106,65,41
75,10468,81,46,35
76,10469,10,7,3
77,10471,43,24,19
78,10472,0,0,0
79,10473,0,0,0
80,10474,0,0,0
81,10475,20,12,8
82,10514,0,0,0
83,10543,0,0,0
84,10553,0,0,0
85,10573,0,0,0
86,10701,0,0,0
87,10705,0,0,0
88,10911,0,0,0
89,10965,0,0,0
90,10977,0,0,0
91,11001,0,0,0
92,11021,0,0,0
93,11050,0,0,0
94,11101,1,0,1
95,11102,0,0,0
96,11103,0,0,0
97,11104,0,0,0
98,11105,0,0,0
99,11106,0,0,0
100,11111,0,0,0
101,11112,0,0,0
102,11201,11,6,5
103,11202,0,0,0
104,11203,15,12,3
105,11204,37,17,20
106,11205,5,5,0
107,11206,13,3,10
108,11207,0,0,0
109,11208,0,0,0
110,11209,0,0,0
111,11210,36,12,24
112,11211,34,31,3
113,11212,10,8,2
114,11213,38,17,21
115,11214,10,7,3
116,11215,0,0,0
117,11216,0,0,0
118,11217,0,0,0
119,11218,111,97,14
120,11219,214,182,32
121,11220,8,1,7
122,11221,0,0,0
123,11222,0,0,0
124,11223,109,53,56
125,11224,93,53,40
126,11225,52,52,0
127,11226,10,7,3
128,11228,0,0,0
129,11229,52,32,20
130,11230,248,194,54
131,11231,0,0,0
132,11232,0,0,0
133,11233,14,6,8
134,11234,59,29,30
135,11235,50,17,33
136,11236,7,3,4
137,11237,0,0,0
138,11238,0,0,0
139,11239,0,0,0
140,11252,0,0,0
141,11354,2,1,1
142,11355,0,0,0
143,11356,0,0,0
144,11357,0,0,0
145,11358,0,0,0
146,11360,0,0,0
147,11361,0,0,0
148,11362,0,0,0
149,11364,0,0,0
150,11365,0,0,0
151,11366,0,0,0
152,11367,0,0,0
153,11368,5,4,1
154,11369,0,0,0
155,11370,0,0,0
156,11371,0,0,0
157,11372,2,1,1
158,11373,3,3,0
159,11374,2,0,2
160,11375,5,2,3
161,11377,0,0,0
162,11378,0,0,0
163,11379,0,0,0
164,11385,0,0,0
165,11411,0,0,0
166,11412,0,0,0
167,11413,0,0,0
168,11414,0,0,0
169,11415,11,6,5
170,11416,0,0,0
171,11417,0,0,0
172,11418,4,2,2
173,11419,1,0,1
174,11420,2,1,1
175,11421,0,0,0
176,11422,0,0,0
177,11423,0,0,0
178,11424,0,0,0
179,11425,0,0,0
180,11426,0,0,0
181,11427,2,0,2
182,11428,0,0,0
183,11429,0,0,0
184,11430,0,0,0
185,11431,0,0,0
186,11432,2,2,0
187,11433,0,0,0
188,11434,4,1,3
189,11435,0,0,0
190,11436,0,0,0
191,11439,0,0,0
192,11451,0,0,0
193,11471,0,0,0
194,11510,28,6,22
195,11548,0,0,0
196,11566,0,0,0
197,11577,0,0,0
198,11580,0,0,0
199,11598,0,0,0
200,11629,0,0,0
201,11691,37,12,25
202,11692,0,0,0
203,11693,0,0,0
204,11694,0,0,0
205,11695,0,0,0
206,11731,0,0,0
207,11798,5,3,2
208,11968,0,0,0
209,12423,21,1,20
210,12428,124,74,50
211,12435,55,5,50
212,12458,0,0,0
213,12466,44,44,0
214,12473,0,0,0
215,12528,52,2,50
216,12701,87,49,38
217,12733,13,6,7
218,12734,252,170,82
219,12737,35,34,1
220,12750,37,36,1
221,12751,7,2,5
222,12754,134,64,70
223,12758,82,50,32
224,12759,11,0,11
225,12763,11,11,0
226,12764,64,61,3
227,12768,63,1,62
228,12779,242,183,59
229,12783,201,66,135
230,12786,4,3,1
231,12788,83,39,44
232,12789,272,115,157
233,13731,17,2,15
234,16091,0,0,0
235,20459,0,0,0
